sample	log2_nonsilent	log2_silent
MGH1002_1	5.832890014	3.584962501
MGH1002_19	7.169925001	4.807354922
MGH1002_20	7.483815777	5.129283017
MGH1002_15	5.392317423	2.321928095
MGH1002_11	4.247927513	2
MGH1002_13	5.807354922	3.321928095
MGH1002_21	7.076815597	5.129283017
MGH1002_10	7.924812504	6.06608919
MGH1002_12	7.169925001	4.700439718
MGH1002_8	5.209453366	3.321928095
MGH1002_14	5.459431619	3.169925001
MGH1002_17	7.46760555	4.857980995
Space_MGH1002_1	0	0
Space_MGH1002_2	0	0
Space_MGH1002_3	0	0
Space_MGH1002_4	0	0
MGH1078_1	4.906890596	2.807354922
MGH1078_2	2.807354922	1.584962501
MGH1078_5	4.807354922	2.584962501
Space_MGH1078_1	0	0
Space_MGH1078_2	0	0
Space_MGH1078_3	0	0
Space_MGH1078_4	0	0
MGH1326_1	3.584962501	2
MGH1326_9	4.169925001	1
MGH1326_2	4	1.584962501
MGH1326_12	4.247927513	2
MGH1326_13	6.129283017	4.169925001
MGH1326_6	3	0
MGH1326_10	4.321928095	2.584962501
Space_MGH1326_1	0	0
Space_MGH1326_2	0	0
Space_MGH1326_3	0	0
Space_MGH1326_4	0	0
MGH1534_1	8.531381461	6.375039431
MGH1534_2	2.807354922	1.584962501
Space_MGH1534_1	0	0
Space_MGH1534_2	0	0
Space_MGH1534_3	0	0
Space_MGH1534_4	0	0
MGH1547_1	7.417852515	5.129283017
MGH1547_8	2.321928095	0
MGH1547_15	8.214319121	5.754887502
MGH1547_2	4.169925001	2
MGH1547_12	5.459431619	2.321928095
MGH1547_6	3.459431619	0
MGH1547_9	4.807354922	1
MGH1547_13	4.807354922	3.584962501
Space_MGH1547_1	0	0
Space_MGH1547_2	0	0
Space_MGH1547_3	0	0
Space_MGH1547_4	0	0
MGH1558_1	5.285402219	3.584962501
MGH1558_4	3.169925001	1
MGH1558_8	2	1.584962501
MGH1558_3	1	0
MGH1558_7	3.700439718	1
MGH1558_2	2.584962501	2.321928095
MGH1558_5	2.584962501	0
MGH1558_6	2	1
MGH1558_10	4.459431619	1.584962501
MGH1558_11	6.794415866	4.64385619
MGH1558_9	3.459431619	0
MGH1558_12	6.918863237	5.169925001
Space_MGH1558_1	0	0
Space_MGH1558_2	0	0
Space_MGH1558_3	0	0
Space_MGH1558_4	0	0
MGH1598_1	3.584962501	2.321928095
MGH1598_6	3.807354922	2.321928095
MGH1598_2	3	1
MGH1598_5	4.392317423	1.584962501
MGH1598_3	3.169925001	1
MGH1598_4	3.584962501	2
MGH1598_7	3.807354922	1
MGH1598_8	5.727920455	4.247927513
MGH1598_9	3.169925001	0
Space_MGH1598_1	0	0
Space_MGH1598_2	0	0
Space_MGH1598_3	0	0
Space_MGH1598_4	0	0
MGH1644_1	7.022367813	4.857980995
MGH1644_3	6.169925001	3.459431619
MGH1644_6	5.459431619	4.169925001
MGH1644_7	3.459431619	0
MGH1644_8	4.392317423	1
Space_MGH1644_1	0	0
Space_MGH1644_2	0	0
Space_MGH1644_3	0	0
Space_MGH1644_4	0	0
MGH2389_1	4.95419631	2.807354922
MGH2389_13	7.888743249	6.475733431
MGH2389_3	6.409390936	4.169925001
MGH2389_12	6.794415866	4.857980995
MGH2389_5	5.930737338	3.807354922
MGH2389_16	7.159871337	4.392317423
MGH2389_10	4.700439718	1
MGH2389_14	6.392317423	4.321928095
MGH2389_4	5.247927513	3.459431619
MGH2389_9	7.17990909	5.357552005
MGH2389_15	8.13442632	6.442943496
MGH2389_7	6.14974712	4.754887502
MGH2389_17	7.459431619	5.95419631
MGH2389_6	6.62935662	5.087462841
MGH2389_11	6.339850003	4.392317423
MGH2389_18	9.952741247	8.28077077
Space_MGH2389_1	0	0
Space_MGH2389_2	0	0
Space_MGH2389_3	0	0
Space_MGH2389_4	0	0
MGH2542_1	8.005624549	6.357552005
MGH2542_2	5.169925001	3.700439718
MGH2542_3	7.14974712	5.700439718
MGH2542_4	3.584962501	1.584962501
MGH2542_7	4.169925001	1.584962501
MGH2542_5	0	0
MGH2542_10	4.392317423	1.584962501
MGH2542_17	9.695228291	7.994353437
MGH2542_6	5.727920455	4.64385619
MGH2542_11	4	1.584962501
MGH2542_14	7.614709844	5.977279923
MGH2542_9	4.807354922	2.807354922
MGH2542_16	7.076815597	5.392317423
MGH2542_13	6.357552005	4.584962501
MGH2542_8	1	0
MGH2542_19	7.6794801	6
MGH2542_15	8.361943774	6.965784285
MGH2542_18	8.632995197	7
MGH2542_12	10.84705735	9.121533517
Space_MGH2542_1	0	0
Space_MGH2542_2	0	0
Space_MGH2542_3	0	0
Space_MGH2542_4	0	0
MGH2819_1	5.321928095	3.807354922
MGH2819_5	5.857980995	4.64385619
MGH2819_6	3.169925001	2.321928095
MGH2819_7	3.459431619	1
MGH2819_10	7.686500527	5.930737338
MGH2819_11	5.247927513	2.584962501
MGH2819_8	4.459431619	3.321928095
MGH2819_9	6.475733431	4.392317423
Space_MGH2819_1	0	0
Space_MGH2819_2	0	0
Space_MGH2819_3	0	0
Space_MGH2819_4	0	0
MGH2974_1	5.459431619	3.459431619
MGH2974_4	3	2.321928095
MGH2974_6	2.321928095	1
MGH2974_3	2	1
MGH2974_2	4.64385619	2
MGH2974_5	4.321928095	2.321928095
Space_MGH2974_1	0	0
Space_MGH2974_2	0	0
Space_MGH2974_3	0	0
Space_MGH2974_4	0	0
MGH1035_1	4.906890596	3
MGH1035_5	3.700439718	0
MGH1035_3	2	0
MGH1035_9	4.523561956	2.321928095
MGH1035_6	3.700439718	1
MGH1035_10	4.584962501	3.169925001
MGH1035_7	2.807354922	0
MGH1035_4	0	0
MGH1035_8	2	2.321928095
Space_MGH1035_1	0	0
Space_MGH1035_2	0	0
Space_MGH1035_3	0	0
Space_MGH1035_4	0	0
MGH1045_1	4.321928095	2.807354922
MGH1045_3	4.584962501	1
MGH1045_10	3.700439718	2
MGH1045_9	4.459431619	3.459431619
MGH1045_14	3.321928095	0
MGH1045_4	2.584962501	0
MGH1045_13	6.169925001	5.129283017
MGH1045_15	5.459431619	4
MGH1045_11	5	3.321928095
Space_MGH1045_1	0	0
Space_MGH1045_2	0	0
Space_MGH1045_3	0	0
Space_MGH1045_4	0	0
MGH1113_1	5	2.321928095
MGH1113_10	2.584962501	2
MGH1113_2	3.584962501	3.169925001
MGH1113_11	4.807354922	3.169925001
MGH1113_8	3.807354922	2.321928095
MGH1113_3	2.807354922	2.321928095
MGH1113_5	3.459431619	1
MGH1113_12	4.459431619	2
Space_MGH1113_1	0	0
Space_MGH1113_2	0	0
Space_MGH1113_3	0	0
Space_MGH1113_4	0	0